Date,Volume,Close,Average,,,,,,,,,,
09/08/2017,"62,632,619", $247.25 ,247.239,,,,,,,,,,
10/08/2017,"120,479,470", $243.76 ,246.895,,,,,,,,,,
11/08/2017,"74,869,947", $244.12 ,246.616,,,,,,,,,,
14/08/2017,"73,291,919", $246.54 ,246.593,,,,,,,,,,
15/08/2017,"55,242,746", $246.51 ,246.512,,,,,,,,,,
16/08/2017,"56,715,544", $246.94 ,246.462,,,,,,,,,,
17/08/2017,"128,490,396", $243.09 ,246.075,,,,,,,,,,
18/08/2017,"136,747,986", $242.71 ,245.605,,,,,,,,,,
21/08/2017,"65,469,736", $242.90 ,245.108,,,,,,,,,,
22/08/2017,"63,140,101", $245.44 ,244.926,,,,,,,,,,
23/08/2017,"50,203,837", $244.56 ,244.657,,,,,,,,,,
24/08/2017,"50,741,671", $243.99 ,244.68,,,,,,,,,,
25/08/2017,"64,445,912", $244.56 ,244.724,,,,,,,,,,
28/08/2017,"40,565,606", $244.57 ,244.527,,,,,,,,,,
29/08/2017,"51,135,715", $244.85 ,244.361,,,,,,,,,,
30/08/2017,"62,030,805", $246.01 ,244.268,,,,,,,,,,
31/08/2017,"103,803,880", $247.49 ,244.708,,,,,,,,,,
01/09/2017,"62,006,989", $247.84 ,245.221,,,,,,,,,,
05/09/2017,"91,398,777", $246.06 ,245.537,,,,,,,,,,
06/09/2017,"57,916,867", $246.90 ,245.683,,,,,,,,,,
07/09/2017,"58,034,730", $246.87 ,245.914,,,,,,,,,,
08/09/2017,"63,832,825", $246.58 ,246.173,,,,,,,,,,
11/09/2017,"71,364,848", $249.21 ,246.638,,,,,,,,,,
12/09/2017,"56,896,027", $250.05 ,247.186,,,,,,,,,,
13/09/2017,"59,228,002", $250.17 ,247.718,,,,,,,,,,
14/09/2017,"95,446,349", $250.09 ,248.126,,,,,,,,,,
15/09/2017,"95,432,382", $249.19 ,248.296,,,,,,,,,,
18/09/2017,"46,235,238", $249.72 ,248.484,,,,,,,,,,
19/09/2017,"47,108,148", $249.97 ,248.875,,,,,,,,,,
20/09/2017,"59,574,083", $250.06 ,249.191,,,,,,,,,,
21/09/2017,"48,211,398", $249.39 ,249.443,,,,,,,,,,
22/09/2017,"51,214,032", $249.44 ,249.729,,,,,,,,,,
25/09/2017,"57,064,357", $248.93 ,249.701,,,,,,,,,,
26/09/2017,"54,081,959", $249.08 ,249.604,,,,,,,,,,
27/09/2017,"81,001,426", $250.05 ,249.592,,,,,,,,,,
28/09/2017,"44,778,841", $250.35 ,249.618,,,,,,,,,,
29/09/2017,"85,578,002", $251.23 ,249.822,,,,,,,,,,
02/10/2017,"59,022,985", $252.32 ,250.082,,,,,,,,,,
03/10/2017,"66,810,169", $252.86 ,250.371,,,,,,,,,,
04/10/2017,"55,953,619", $253.16 ,250.681,,,,,,,,,,
05/10/2017,"63,522,757", $254.66 ,251.208,,,,,,,,,,
06/10/2017,"80,645,998", $254.37 ,251.701,,,,,,,,,,
09/10/2017,"35,803,138", $253.95 ,252.203,,,,,,,,,,
10/10/2017,"43,057,363", $254.62 ,252.757,,,,,,,,,,
11/10/2017,"47,674,325", $255.02 ,253.254,,,,,,,,,,
12/10/2017,"47,065,144", $254.64 ,253.683,,,,,,,,,,
13/10/2017,"54,800,435", $254.95 ,254.055,,,,,,,,,,
16/10/2017,"38,221,675", $255.29 ,254.352,,,,,,,,,,
17/10/2017,"31,560,964", $255.47 ,254.613,,,,,,,,,,
18/10/2017,"40,888,330", $255.72 ,254.869,,,,,,,,,,
19/10/2017,"61,903,788", $255.79 ,254.982,,,,,,,,,,
20/10/2017,"89,176,377", $257.11 ,255.256,,,,,,,,,,
23/10/2017,"63,915,306", $256.11 ,255.472,,,,,,,,,,
24/10/2017,"66,935,910", $256.56 ,255.666,,,,,,,,,,
25/10/2017,"103,715,291", $255.29 ,255.693,,,,,,,,,,
26/10/2017,"69,797,972", $255.62 ,255.791,,,,,,,,,,
27/10/2017,"85,562,544", $257.71 ,256.067,,,,,,,,,,
30/10/2017,"54,285,687", $256.75 ,256.213,,,,,,,,,,
31/10/2017,"60,304,781", $257.15 ,256.381,,,,,,,,,,
01/11/2017,"54,202,736", $257.49 ,256.558,,,,,,,,,,
02/11/2017,"56,449,535", $257.59 ,256.738,,,,,,,,,,
03/11/2017,"59,589,730", $258.45 ,256.872,,,,,,,,,,
06/11/2017,"49,652,598", $258.85 ,257.146,,,,,,,,,,
07/11/2017,"57,502,161", $258.67 ,257.357,,,,,,,,,,
08/11/2017,"50,469,579", $259.11 ,257.739,,,,,,,,,,
09/11/2017,"95,085,497", $258.17 ,257.994,,,,,,,,,,
10/11/2017,"59,984,662", $258.09 ,258.032,,,,,,,,,,
13/11/2017,"50,228,648", $258.33 ,258.19,,,,,,,,,,
14/11/2017,"61,315,152", $257.73 ,258.248,,,,,,,,,,
15/11/2017,"80,811,525", $256.44 ,258.143,,,,,,,,,,
16/11/2017,"67,777,027", $258.62 ,258.246,,,,,,,,,,
17/11/2017,"75,756,833", $257.86 ,258.187,,,,,,,,,,
20/11/2017,"48,075,514", $258.30 ,258.132,,,,,,,,,,
21/11/2017,"69,176,799", $259.99 ,258.264,,,,,,,,,,
