Date,Close,Volume,Average,,,,,,,,,,
06/06/2017, $142.86 ,"22,393,024",141.533,,,,,,,,,,
07/06/2017, $143.42 ,"18,842,408",141.961,,,,,,,,,,
08/06/2017, $143.57 ,"25,417,408",142.34,,,,,,,,,,
09/06/2017, $139.98 ,"109,783,737",142.241,,,,,,,,,,
12/06/2017, $139.23 ,"104,453,977",142.042,,,,,,,,,,
13/06/2017, $140.36 ,"51,193,010",141.944,,,,,,,,,,
14/06/2017, $139.75 ,"60,093,764",141.79,,,,,,,,,,
15/06/2017, $139.13 ,"55,145,160",141.519,,,,,,,,,,
16/06/2017, $138.15 ,"48,087,413",140.988,,,,,,,,,,
19/06/2017, $140.46 ,"39,626,533",140.691,,,,,,,,,,
20/06/2017, $139.36 ,"40,935,078",140.341,,,,,,,,,,
21/06/2017, $140.74 ,"35,743,366",140.073,,,,,,,,,,
22/06/2017, $140.70 ,"24,099,115",139.786,,,,,,,,,,
23/06/2017, $141.24 ,"21,654,314",139.912,,,,,,,,,,
26/06/2017, $140.58 ,"34,411,094",140.047,,,,,,,,,,
27/06/2017, $138.03 ,"65,957,819",139.814,,,,,,,,,,
28/06/2017, $140.02 ,"57,427,180",139.841,,,,,,,,,,
29/06/2017, $137.59 ,"88,769,351",139.687,,,,,,,,,,
30/06/2017, $137.64 ,"68,898,255",139.636,,,,,,,,,,
03/07/2017, $136.19 ,"32,797,005",139.209,,,,,,,,,,
05/07/2017, $137.53 ,"42,116,584",139.026,,,,,,,,,,
06/07/2017, $136.29 ,"48,430,476",138.581,,,,,,,,,,
07/07/2017, $137.76 ,"36,970,402",138.287,,,,,,,,,,
10/07/2017, $138.66 ,"24,853,545",138.029,,,,,,,,,,
11/07/2017, $139.05 ,"31,517,660",137.876,,,,,,,,,,
12/07/2017, $140.70 ,"36,045,799",138.143,,,,,,,,,,
13/07/2017, $141.01 ,"31,073,595",138.242,,,,,,,,,,
14/07/2017, $142.12 ,"34,544,847",138.695,,,,,,,,,,
17/07/2017, $142.19 ,"25,343,155",139.15,,,,,,,,,,
18/07/2017, $143.14 ,"25,748,527",139.845,,,,,,,,,,
19/07/2017, $143.98 ,"33,752,309",140.49,,,,,,,,,,
20/07/2017, $144.17 ,"36,139,449",141.278,,,,,,,,,,
21/07/2017, $144.11 ,"39,697,094",141.913,,,,,,,,,,
24/07/2017, $144.77 ,"26,712,732",142.524,,,,,,,,,,
25/07/2017, $144.40 ,"28,120,884",143.059,,,,,,,,,,
26/07/2017, $144.87 ,"18,610,634",143.476,,,,,,,,,,
27/07/2017, $143.96 ,"80,665,866",143.771,,,,,,,,,,
28/07/2017, $143.84 ,"38,013,176",143.943,,,,,,,,,,
31/07/2017, $143.23 ,"33,848,645",144.047,,,,,,,,,,
01/08/2017, $143.56 ,"20,149,421",144.089,,,,,,,,,,
02/08/2017, $143.95 ,"41,769,667",144.086,,,,,,,,,,
03/08/2017, $143.39 ,"27,112,799",144.008,,,,,,,,,,
04/08/2017, $143.65 ,"29,472,909",143.962,,,,,,,,,,
07/08/2017, $144.56 ,"17,933,942",143.941,,,,,,,,,,
08/08/2017, $144.31 ,"30,810,364",143.932,,,,,,,,,,
09/08/2017, $144.12 ,"36,169,473",143.857,,,,,,,,,,
10/08/2017, $141.03 ,"63,331,663",143.564,,,,,,,,,,
11/08/2017, $142.10 ,"45,862,488",143.39,,,,,,,,,,
14/08/2017, $143.93 ,"34,161,024",143.46,,,,,,,,,,
15/08/2017, $144.03 ,"25,509,181",143.507,,,,,,,,,,
16/08/2017, $144.28 ,"31,913,002",143.54,,,,,,,,,,
17/08/2017, $141.33 ,"70,190,975",143.334,,,,,,,,,,
18/08/2017, $141.23 ,"60,751,940",143.092,,,,,,,,,,
21/08/2017, $141.05 ,"37,111,487",142.741,,,,,,,,,,
22/08/2017, $143.20 ,"36,294,232",142.63,,,,,,,,,,
23/08/2017, $142.69 ,"25,702,324",142.487,,,,,,,,,,
24/08/2017, $142.27 ,"38,160,803",142.611,,,,,,,,,,
25/08/2017, $141.97 ,"26,380,436",142.598,,,,,,,,,,
28/08/2017, $142.41 ,"15,362,141",142.446,,,,,,,,,,
29/08/2017, $142.97 ,"24,498,333",142.34,,,,,,,,,,
30/08/2017, $144.65 ,"33,642,716",142.377,,,,,,,,,,
31/08/2017, $146.20 ,"38,480,747",142.864,,,,,,,,,,
01/09/2017, $146.00 ,"22,293,553",143.341,,,,,,,,,,
05/09/2017, $144.69 ,"45,480,562",143.705,,,,,,,,,,
06/09/2017, $145.13 ,"30,722,723",143.898,,,,,,,,,,
07/09/2017, $145.47 ,"22,721,131",144.176,,,,,,,,,,
08/09/2017, $144.21 ,"27,890,115",144.37,,,,,,,,,,
11/09/2017, $145.87 ,"27,126,332",144.76,,,,,,,,,,
12/09/2017, $146.22 ,"30,256,661",145.141,,,,,,,,,,
13/09/2017, $146.42 ,"28,450,864",145.486,,,,,,,,,,
14/09/2017, $145.56 ,"35,296,413",145.577,,,,,,,,,,
15/09/2017, $146.06 ,"46,422,402",145.563,,,,,,,,,,
18/09/2017, $145.55 ,"24,858,157",145.518,,,,,,,,,,
19/09/2017, $145.80 ,"20,871,237",145.629,,,,,,,,,,
20/09/2017, $145.35 ,"34,236,155",145.651,,,,,,,,,,
21/09/2017, $144.46 ,"28,841,835",145.55,,,,,,,,,,
22/09/2017, $144.32 ,"21,702,401",145.561,,,,,,,,,,
25/09/2017, $142.80 ,"54,947,712",145.254,,,,,,,,,,
26/09/2017, $143.17 ,"29,628,806",144.949,,,,,,,,,,
27/09/2017, $144.46 ,"33,249,403",144.753,,,,,,,,,,
28/09/2017, $144.41 ,"24,149,422",144.638,,,,,,,,,,
29/09/2017, $145.45 ,"43,102,366",144.577,,,,,,,,,,
02/10/2017, $145.58 ,"27,351,260",144.58,,,,,,,,,,
03/10/2017, $145.89 ,"19,715,152",144.589,,,,,,,,,,
04/10/2017, $146.03 ,"26,381,099",144.657,,,,,,,,,,
05/10/2017, $147.46 ,"31,562,353",144.957,,,,,,,,,,
06/10/2017, $147.66 ,"23,561,069",145.291,,,,,,,,,,
09/10/2017, $147.49 ,"13,704,835",145.76,,,,,,,,,,
10/10/2017, $147.60 ,"19,223,092",146.203,,,,,,,,,,
11/10/2017, $148.04 ,"12,439,051",146.561,,,,,,,,,,
12/10/2017, $147.77 ,"14,513,477",146.897,,,,,,,,,,
13/10/2017, $148.34 ,"18,409,888",147.186,,,,,,,,,,
16/10/2017, $148.85 ,"21,809,410",147.513,,,,,,,,,,
17/10/2017, $149.04 ,"13,138,157",147.828,,,,,,,,,,
18/10/2017, $148.86 ,"17,218,243",148.111,,,,,,,,,,
19/10/2017, $148.31 ,"27,680,285",148.196,,,,,,,,,,
20/10/2017, $148.71 ,"30,173,268",148.301,,,,,,,,,,
23/10/2017, $147.74 ,"29,297,126",148.326,,,,,,,,,,
24/10/2017, $147.99 ,"20,289,467",148.365,,,,,,,,,,
25/10/2017, $147.43 ,"36,179,124",148.304,,,,,,,,,,
26/10/2017, $146.96 ,"28,230,199",148.223,,,,,,,,,,
27/10/2017, $151.24 ,"60,165,127",148.513,,,,,,,,,,
30/10/2017, $151.58 ,"31,733,386",148.786,,,,,,,,,,
31/10/2017, $152.15 ,"26,319,327",149.097,,,,,,,,,,
01/11/2017, $152.10 ,"29,481,569",149.421,,,,,,,,,,
02/11/2017, $151.81 ,"31,017,426",149.771,,,,,,,,,,
03/11/2017, $153.27 ,"26,199,249",150.227,,,,,,,,,,
06/11/2017, $153.79 ,"28,693,919",150.832,,,,,,,,,,
07/11/2017, $153.88 ,"21,333,062",151.421,,,,,,,,,,
08/11/2017, $154.50 ,"17,373,517",152.128,,,,,,,,,,
09/11/2017, $153.69 ,"40,594,482",152.801,,,,,,,,,,
