Date,Close,Volume,Average,,,,,,,,,,
20/06/2017, $48.62 ,"1,192,997",49.29851,,,,,,,,,,
21/06/2017, $49.18 ,"1,386,949",49.16251,,,,,,,,,,
22/06/2017, $49.07 ,"1,299,843",48.92285,,,,,,,,,,
23/06/2017, $49.21 ,"973,092",48.91418,,,,,,,,,,
26/06/2017, $48.79 ,"1,882,836",48.89151,,,,,,,,,,
27/06/2017, $47.37 ,"1,921,576",48.69351,,,,,,,,,,
28/06/2017, $48.19 ,"2,285,503",48.62918,,,,,,,,,,
29/06/2017, $46.99 ,"2,949,317",48.48351,,,,,,,,,,
30/06/2017, $46.73 ,"1,492,769",48.33151,,,,,,,,,,
03/07/2017, $46.09 ,"1,771,772",48.02385,,,,,,,,,,
05/07/2017, $47.04 ,"1,918,255",47.86585,,,,,,,,,,
06/07/2017, $46.83 ,"2,063,096",47.63085,,,,,,,,,,
07/07/2017, $47.62 ,"3,374,304",47.48618,,,,,,,,,,
10/07/2017, $48.17 ,"978,372",47.38185,,,,,,,,,,
11/07/2017, $48.57 ,"965,472",47.35985,,,,,,,,,,
12/07/2017, $49.35 ,"1,678,198",47.55752,,,,,,,,,,
13/07/2017, $49.19 ,"1,532,787",47.65785,,,,,,,,,,
14/07/2017, $49.85 ,"1,234,659",47.94418,,,,,,,,,,
17/07/2017, $49.65 ,"693,408",48.23584,,,,,,,,,,
18/07/2017, $49.80 ,"1,017,271",48.60683,,,,,,,,,,
19/07/2017, $50.26 ,"1,410,530",48.92949,,,,,,,,,,
20/07/2017, $50.41 ,"1,527,081",49.28749,,,,,,,,,,
21/07/2017, $49.98 ,"983,916",49.52349,,,,,,,,,,
24/07/2017, $49.83 ,"1,212,618",49.68949,,,,,,,,,,
25/07/2017, $49.79 ,"1,203,540",49.81116,,,,,,,,,,
26/07/2017, $50.33 ,"2,004,515",49.90982,,,,,,,,,,
27/07/2017, $49.57 ,"2,827,957",49.94716,,,,,,,,,,
28/07/2017, $49.38 ,"1,205,631",49.8995,,,,,,,,,,
31/07/2017, $48.99 ,"1,517,484",49.83383,,,,,,,,,,
01/08/2017, $49.30 ,"1,001,893",49.78317,,,,,,,,,,
02/08/2017, $48.94 ,"1,741,754",49.65084,,,,,,,,,,
03/08/2017, $48.76 ,"1,347,259",49.48551,,,,,,,,,,
04/08/2017, $48.78 ,"1,283,664",49.36518,,,,,,,,,,
07/08/2017, $49.62 ,"949,293",49.34385,,,,,,,,,,
08/08/2017, $49.47 ,"818,687",49.31251,,,,,,,,,,
09/08/2017, $49.31 ,"706,408",49.20985,,,,,,,,,,
10/08/2017, $47.93 ,"1,627,381",49.04618,,,,,,,,,,
11/08/2017, $48.20 ,"1,044,370",48.92851,,,,,,,,,,
14/08/2017, $49.43 ,"1,610,014",48.97185,,,,,,,,,,
15/08/2017, $49.55 ,"531,350",48.99718,,,,,,,,,,
16/08/2017, $49.63 ,"777,940",49.06618,,,,,,,,,,
17/08/2017, $48.38 ,"1,209,063",49.02818,,,,,,,,,,
18/08/2017, $48.45 ,"1,026,787",48.99551,,,,,,,,,,
21/08/2017, $48.09 ,"945,918",48.84284,,,,,,,,,,
22/08/2017, $48.88 ,"1,046,563",48.78384,,,,,,,,,,
23/08/2017, $49.09 ,"1,984,153",48.76217,,,,,,,,,,
24/08/2017, $49.10 ,"1,294,323",48.87884,,,,,,,,,,
25/08/2017, $48.86 ,"684,810",48.94484,,,,,,,,,,
28/08/2017, $49.01 ,"552,548",48.90284,,,,,,,,,,
29/08/2017, $49.08 ,"1,069,039",48.85617,,,,,,,,,,
30/08/2017, $49.92 ,"1,999,264",48.8855,,,,,,,,,,
31/08/2017, $50.42 ,"1,072,240",49.0895,,,,,,,,,,
01/09/2017, $50.64 ,"1,591,128",49.30817,,,,,,,,,,
05/09/2017, $49.95 ,"2,812,351",49.4945,,,,,,,,,,
06/09/2017, $50.02 ,"1,043,920",49.6085,,,,,,,,,,
07/09/2017, $50.11 ,"873,296",49.7105,,,,,,,,,,
08/09/2017, $49.52 ,"1,454,048",49.75283,,,,,,,,,,
11/09/2017, $50.46 ,"1,305,352",49.91316,,,,,,,,,,
