Date,Close,Volume,Average,,,,,,,,,,
27/04/2018, $72.41 ,"715,680",72.488,,,,,,,,,,
30/04/2018, $71.99 ,"2,476,488",72.43,,,,,,,,,,
01/05/2018, $71.91 ,"2,009,484",72.311,,,,,,,,,,
02/05/2018, $71.61 ,"1,076,501",72.138,,,,,,,,,,
03/05/2018, $71.62 ,"3,695,429",71.997,,,,,,,,,,
04/05/2018, $72.22 ,"1,295,372",71.973,,,,,,,,,,
07/05/2018, $72.34 ,"1,525,708",71.971,,,,,,,,,,
08/05/2018, $72.37 ,"1,379,303",72.041,,,,,,,,,,
09/05/2018, $72.79 ,"1,380,171",72.152,,,,,,,,,,
10/05/2018, $73.53 ,"1,432,281",72.279,,,,,,,,,,
11/05/2018, $73.69 ,"1,153,389",72.407,,,,,,,,,,
14/05/2018, $73.80 ,"1,010,376",72.588,,,,,,,,,,
15/05/2018, $73.16 ,"1,918,906",72.713,,,,,,,,,,
16/05/2018, $73.49 ,"800,077",72.901,,,,,,,,,,
17/05/2018, $73.40 ,"834,224",73.079,,,,,,,,,,
18/05/2018, $73.15 ,"1,103,868",73.172,,,,,,,,,,
21/05/2018, $73.62 ,"1,113,464",73.3,,,,,,,,,,
22/05/2018, $73.54 ,"1,004,606",73.417,,,,,,,,,,
23/05/2018, $73.39 ,"1,499,401",73.477,,,,,,,,,,
24/05/2018, $73.12 ,"1,613,522",73.436,,,,,,,,,,
25/05/2018, $72.91 ,"1,009,072",73.358,,,,,,,,,,
29/05/2018, $71.80 ,"2,512,550",73.158,,,,,,,,,,
30/05/2018, $72.74 ,"2,082,808",73.116,,,,,,,,,,
31/05/2018, $72.33 ,"2,328,138",73,,,,,,,,,,
01/06/2018, $73.08 ,"2,917,188",72.968,,,,,,,,,,
04/06/2018, $73.51 ,"2,303,549",73.004,,,,,,,,,,
05/06/2018, $73.43 ,"3,769,853",72.985,,,,,,,,,,
06/06/2018, $74.13 ,"3,887,340",73.044,,,,,,,,,,
07/06/2018, $73.80 ,"1,508,708",73.085,,,,,,,,,,
